PeakID (cmd=annotatePeaks.pl /home/xiang/New_disk1/CD8_CUTRUN/data//T48hr_NoQ_H3K27me3_idr.05.bed mm10 -cpu 20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
6692	chr6	29616915	29619266	+	0	NA	Intergenic	Lx9|LINE|L1	-8241	NM_001347079	320938	Mm.276381	NM_177296	ENSMUSG00000012535	Tnpo3	5730544L10Rik|C430013M08Rik|C81142|D6Ertd313e|Trn-SR|mKIAA4133	transportin 3	protein-coding
7326	chr7	65373539	65377509	+	0	NA	Intergenic	Intergenic	-4280	NM_001163574	21872	Mm.4342	NM_009386	ENSMUSG00000030516	Tjp1	ZO1	tight junction protein 1	protein-coding
2916	chr15	98423671	98425213	+	0	NA	Intergenic	Intergenic	-13028	NM_146457	258449	Mm.324601	NM_146457	ENSMUSG00000063780	Olfr282	MOR160-2	olfactory receptor 282	protein-coding
3223	chr16	92758904	92767960	+	0	NA	intron (NM_001111021, intron 2 of 7)	intron (NM_001111021, intron 2 of 7)	62642	NM_001111022	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
536	chr1	183719686	183720875	+	0	NA	Intergenic	Intergenic	-28697	NR_151520	102637191	Mm.417076	NR_151520	ENSMUSG00000103305	Gm34068	-	predicted gene, 34068	ncRNA
6449	chr5	115419508	115440832	+	0	NA	intron (NM_008629, intron 2 of 14)	CpG-11404	485	NM_008629	17690	Mm.5077	NM_008629	ENSMUSG00000054256	Msi1	Msi1h|Musahi1|m-Msi-1	musashi RNA-binding protein 1	protein-coding
3071	chr16	21258369	21258735	+	0	NA	intron (NR_046162, intron 3 of 4)	intron (NR_046162, intron 3 of 4)	-2486	NR_106145	102465781		NR_106145	ENSMUSG00000098400	Mir7680	Gm27417|mmu-mir-7680	microRNA 7680	ncRNA
7801	chr8	35771755	35775811	+	0	NA	intron (NM_001370844, intron 5 of 32)	ORR1E|LTR|ERVL-MaLR	8060	NM_001370844	100502846		NM_001370844	ENSMUSG00000109372	Gm19410	-	predicted gene, 19410	protein-coding
5272	chr3	96393810	96398786	+	0	NA	Intergenic	Intergenic	18535	NR_001579	21748		NR_001579	ENSMUSG00000064796	Terc	mTER|mTR	telomerase RNA component	ncRNA
6357	chr5	99275137	99284323	+	0	NA	Intergenic	Intergenic	-26803	NM_145839	320292	Mm.259074	NM_145839	ENSMUSG00000089809	Rasgef1b	4732452O09Rik|GPIgamma4|Gpig4	RasGEF domain family, member 1B	protein-coding
2224	chr13	78172009	78198249	+	0	NA	Intergenic	Intergenic	11320	NM_001347538	13865	Mm.439653	NM_010151	ENSMUSG00000069171	Nr2f1	COUP-TF1|COUP-TFI|COUPTFA|EAR-3|EAR3|Erbal3|SVP44|Tcfcoup1	nuclear receptor subfamily 2, group F, member 1	protein-coding
5758	chr4	116884007	116886566	+	0	NA	intron (NM_001029912, intron 1 of 13)	intron (NM_001029912, intron 1 of 13)	7884	NM_001029912	74464	Mm.218946	NM_001029912	ENSMUSG00000033948	Zswim5	4933426E21Rik|AI503093|mKIAA1511	zinc finger SWIM-type containing 5	protein-coding
1556	chr11	109865914	109872916	+	0	NA	Intergenic	Intergenic	23537	NR_045909	73257	Mm.250442	NR_045909	ENSMUSG00000087393	1700023C21Rik	-	RIKEN cDNA 1700023C21 gene	ncRNA
877	chr10	117500784	117508332	+	0	NA	Intergenic	Intergenic	-57123	NR_152734	102634600	Mm.399106	NR_152734	ENSMUSG00000112344	Gm32141	-	predicted gene, 32141	ncRNA
6471	chr5	119826653	119847370	+	0	NA	exon (NM_011537, exon 2 of 9)	exon (NM_011537, exon 2 of 9)	2348	NM_011537	21388	Mm.103636	NM_011537	ENSMUSG00000018263	Tbx5	-	T-box 5	protein-coding
2413	chr14	31979930	31984431	+	0	NA	Intergenic	Intergenic	-46923	NM_030166	78754	Mm.40681	NM_030166	ENSMUSG00000021903	Galnt15	4631401E18Rik|Galntl2|mpp-GalNAc-T15	polypeptide N-acetylgalactosaminyltransferase 15	protein-coding
8384	chr9	61008029	61010344	+	0	NA	Intergenic	Intergenic	-7883	NR_040767	330956	Mm.207985	NR_040767	ENSMUSG00000111290	Gm5122	A430102L10	predicted gene 5122	ncRNA
8527	chr9	88325551	88328339	+	0	NA	promoter-TSS (NM_011851)	promoter-TSS (NM_011851)	-664	NM_011851	23959	Mm.244235	NM_011851	ENSMUSG00000032420	Nt5e	2210401F01Rik|5'-NT|AI447961|CD73|NT|Nt5|eNT	5' nucleotidase, ecto	protein-coding
2857	chr15	83512124	83515554	+	0	NA	intron (NM_001357953, intron 1 of 11)	B1_Mus1|SINE|Alu	-2932	NM_178869	319953	Mm.235007	NM_178869	ENSMUSG00000022442	Ttll1	6330444E16Rik|AV014541	tubulin tyrosine ligase-like 1	protein-coding
3267	chr17	6486315	6492756	+	0	NA	Intergenic	MIR3|SINE|MIR	-38541	NR_033520	547127	Mm.297552	NM_001045538		Tmem181b-ps	Tmem181b	transmembrane protein 181B, pseudogene	pseudo
5321	chr3	105061209	105063347	+	0	NA	Intergenic	Intergenic	-4566	NM_029228	75269	Mm.307994	NM_029228	ENSMUSG00000051788	4930564D02Rik	-	RIKEN cDNA 4930564D02 gene	protein-coding
5397	chr3	128082619	128086419	+	0	NA	Intergenic	B3A|SINE|B2	147086	NR_045704	402774	Mm.209170	NR_045704	ENSMUSG00000105816	D030025E07Rik	-	RIKEN cDNA D030025E07 gene	ncRNA
1134	chr11	61963431	61965641	+	0	NA	intron (NM_001310526, intron 1 of 7)	intron (NM_001310526, intron 1 of 7)	7773	NM_001310526	432572	Mm.438022	NM_001029936	ENSMUSG00000042331	Specc1	2810012G08Rik|B230396K10Rik|Cytsb	sperm antigen with calponin homology and coiled-coil domains 1	protein-coding
6437	chr5	114833747	114835920	+	0	NA	Intergenic	MYSERV16_I-int|LTR|ERVK	-11365	NM_181075	330173	Mm.482205	NM_181075	ENSMUSG00000072694	2610524H06Rik	-	RIKEN cDNA 2610524H06 gene	protein-coding
2560	chr14	64583075	64588034	+	0	NA	Intergenic	Intergenic	-2561	NR_040709	268755	Mm.194050	NR_040709	ENSMUSG00000097545	Mir124a-1hg	A930011O12Rik|Rncr3|mir-124-1|mir-3078	Mir124-1 host gene (non-protein coding)	ncRNA
7242	chr7	43472240	43481308	+	0	NA	intron (NM_001164518, intron 5 of 7)	intron (NM_001164518, intron 5 of 7)	13437	NM_001164518	210094	Mm.228087	NM_001164518	ENSMUSG00000013367	Iglon5	A230106M20Rik|Gm1431	IgLON family member 5	protein-coding
702	chr10	53396899	53401161	+	0	NA	Intergenic	Intergenic	-10852	NR_152767	102640074	Mm.412957	NR_152767		Gm36229	-	predicted gene, 36229	ncRNA
3120	chr16	36470541	36471453	+	0	NA	Intergenic	B3|SINE|B2	-15605	NM_025288	20863	Mm.136573	NM_025288	ENSMUSG00000054905	Stfa3	Stf3	stefin A3	protein-coding
6670	chr6	22496149	22500039	+	0	NA	Intergenic	Intergenic	-142013	NM_138587	27999	Mm.490307	NM_138587	ENSMUSG00000029672	Fam3c	D6Wsu176e|Ilei	family with sequence similarity 3, member C	protein-coding
2433	chr14	34607326	34611219	+	0	NA	Intergenic	Intergenic	-9130	NM_001128599	30044	Mm.272060	NM_013887	ENSMUSG00000021799	Opn4	1110007J02Rik|Gm533	opsin 4 (melanopsin)	protein-coding
7291	chr7	46720019	46726044	+	0	NA	Intergenic	RLTR13B2|LTR|ERVK	-7355	NM_011315	20210	Mm.14277	NM_011315	ENSMUSG00000040026	Saa3	AV098916|Saa-3|l7R3	serum amyloid A 3	protein-coding
7070	chr6	128063486	128066366	+	0	NA	intron (NM_001356301, intron 1 of 7)	intron (NM_001356301, intron 1 of 7)	78652	NM_175414	109246	Mm.21814	NM_175414	ENSMUSG00000030352	Tspan9	6720474K14Rik|9430079M16Rik|AU018597|Tspan-9	tetraspanin 9	protein-coding
2314	chr13	107472221	107478279	+	0	NA	TTS (NR_045084)	TTS (NR_045084)	5428	NR_045084	105120	Mm.417700	NR_045083	ENSMUSG00000114780	AI197445	-	expressed sequence AI197445	ncRNA
1960	chr12	112926206	112934073	+	0	NA	promoter-TSS (NM_010588)	promoter-TSS (NM_010588)	-644	NM_010588	16450	Mm.186146	NM_010588	ENSMUSG00000002799	Jag2	D12Ggc2e|Serh|mJagged2-1|sm	jagged 2	protein-coding
3077	chr16	22154169	22156697	+	0	NA	intron (NM_183029, intron 2 of 15)	intron (NM_183029, intron 2 of 15)	7866	NM_183029	319765	Mm.489442	NM_183029	ENSMUSG00000033581	Igf2bp2	C330012H03Rik|IMP-2|Imp2|Neilsen	insulin-like growth factor 2 mRNA binding protein 2	protein-coding
61	chr1	37905391	37907398	+	0	NA	3' UTR (NM_001033427, exon 6 of 6)	3' UTR (NM_001033427, exon 6 of 6)	10099	NM_001033427	332427	Mm.332981	NM_001033427	ENSMUSG00000061584	Lyg2	Gm776	lysozyme G-like 2	protein-coding
7954	chr8	95668476	95706272	+	0	NA	Intergenic	Intergenic	-15663	NM_145602	234593	Mm.29846	NM_145602	ENSMUSG00000036564	Ndrg4	D8Bwg1337e|Ndr1-rs|Ndr4|R74996|SMAP-8	N-myc downstream regulated gene 4	protein-coding
1003	chr11	33173642	33181992	+	0	NA	Intergenic	Intergenic	-14611	NM_008722	18148	Mm.485384	NM_008722	ENSMUSG00000057113	Npm1	B23|NO38|Npm	nucleophosmin 1	protein-coding
8539	chr9	90162932	90167929	+	0	NA	intron (NM_001003911, intron 1 of 23)	intron (NM_001003911, intron 1 of 23)	2452	NM_001311115	108153	Mm.102141	NM_001003911	ENSMUSG00000032363	Adamts7	ADAM-TS7|ADAMTS7B	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 7	protein-coding
4858	chr2	152409743	152411465	+	0	NA	Intergenic	Intergenic	4440	NM_175126	67917	Mm.391810	NM_175126	ENSMUSG00000074682	Zcchc3	2810406K24Rik	zinc finger, CCHC domain containing 3	protein-coding
7387	chr7	81476468	81478490	+	0	NA	exon (NM_021492, exon 7 of 26)	exon (NM_021492, exon 7 of 26)	16446	NM_021492	11775	Mm.322894	NM_021492	ENSMUSG00000062444	Ap3b2	AI549966|AU042881|Naptb|[b]-NAP|beta-NAP|beta3B	adaptor-related protein complex 3, beta 2 subunit	protein-coding
117	chr1	61085870	61087580	+	0	NA	Intergenic	Intergenic	108811	NM_017480	54167	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding
5968	chr4	138469983	138479165	+	0	NA	Intergenic	Intergenic	19426	NM_025451	66259	Mm.41603	NM_025451	ENSMUSG00000046447	Camk2n1	1810006K23Rik|AI848599|AI891706	calcium/calmodulin-dependent protein kinase II inhibitor 1	protein-coding
5661	chr4	97752499	97761584	+	0	NA	intron (NM_001122952, intron 1 of 10)	intron (NM_001122952, intron 1 of 10)	-20585	NM_010905	18027	Mm.31274	NM_010905	ENSMUSG00000028565	Nfia	1110047K16Rik|9430022M17Rik|CTF|NF1-A|NF1A	nuclear factor I/A	protein-coding
6477	chr5	120407757	120412416	+	0	NA	Intergenic	Intergenic	-21800	NM_008499	16873	Mm.5151	NM_008499	ENSMUSG00000029595	Lhx5	Lim2	LIM homeobox protein 5	protein-coding
5074	chr3	8765131	8768322	+	0	NA	Intergenic	Intergenic	-99688	NM_010423	15213	Mm.29581	NM_010423	ENSMUSG00000040289	Hey1	AI316788|AI414254|CHF2|HRT1|Herp2|Hesr1|bHLHb31|hesr-1	hairy/enhancer-of-split related with YRPW motif 1	protein-coding
7360	chr7	78936502	78942716	+	0	NA	Intergenic	Intergenic	25374	NM_001113527	57444	Mm.322843	NM_020583	ENSMUSG00000039236	Isg20	1600023I01Rik|2010107M23Rik|20kDa|DnaQL|HEM45	interferon-stimulated protein	protein-coding
7410	chr7	84443423	84446021	+	0	NA	Intergenic	Intergenic	-34684	NM_007488	11864	Mm.38594	NM_007488	ENSMUSG00000015709	Arnt2	Hif-2b|bHLHe1|mKIAA0307	aryl hydrocarbon receptor nuclear translocator 2	protein-coding
7350	chr7	73389329	73394348	+	0	NA	intron (NM_177740, intron 2 of 3)	intron (NM_177740, intron 2 of 3)	-16064	NR_040325	319783	Mm.349813	NR_040324	ENSMUSG00000097756	A730056A06Rik	C76391	RIKEN cDNA A730056A06 gene	ncRNA
1295	chr11	85864769	85867728	+	0	NA	Intergenic	Intergenic	-20119	NM_011536	21387	Mm.275336	NM_011536	ENSMUSG00000000094	Tbx4	3930401C23	T-box 4	protein-coding
3883	chr19	5062703	5072818	+	0	NA	promoter-TSS (NM_054042)	promoter-TSS (NM_054042)	-318	NM_054042	70445	Mm.29597	NM_054042	ENSMUSG00000056481	Cd248	2610111G01Rik|AI842296|Cd164l1|Tem1	CD248 antigen, endosialin	protein-coding
196	chr1	86018078	86024566	+	0	NA	promoter-TSS (NM_027029)	promoter-TSS (NM_027029)	-620	NM_028647	70060	Mm.196313	NM_027029	ENSMUSG00000026226	Spata3	1700011N12Rik|1700029H01Rik|4930424D10Rik|Mtsarg1|Tsarg1	spermatogenesis associated 3	protein-coding
7002	chr6	119081556	119082579	+	0	NA	intron (NM_009781, intron 1 of 46)	intron (NM_009781, intron 1 of 46)	26428	NM_001256000	12288	Mm.41628	NM_009781	ENSMUSG00000051331	Cacna1c	Cav1.2|Cchl1a1|D930026N18Rik|MBC|MELC-CC	calcium channel, voltage-dependent, L type, alpha 1C subunit	protein-coding
600	chr10	13323175	13326436	+	0	NA	promoter-TSS (NM_001195096)	promoter-TSS (NM_001195096)	-516	NM_001359294	215789	Mm.283359	NM_001033257	ENSMUSG00000062866	Phactr2	AV158170|BC012871	phosphatase and actin regulator 2	protein-coding
3644	chr18	11840455	11844387	+	0	NA	intron (NM_022021, intron 1 of 8)	intron (NM_022021, intron 1 of 8)	-1983	NR_035447	100316686		NR_035447	ENSMUSG00000084565	Mir1901	Mirn1901|mmu-mir-1901	microRNA 1901	ncRNA
6380	chr5	106438160	106439140	+	0	NA	Intergenic	Intergenic	19516	NM_001005477	104382	Mm.271593	NM_001005477	ENSMUSG00000034384	Barhl2	E130309B19Rik|MBH1	BarH like homeobox 2	protein-coding
875	chr10	117452445	117455230	+	0	NA	Intergenic	Intergenic	-6402	NR_152734	102634600	Mm.399106	NR_152734	ENSMUSG00000112344	Gm32141	-	predicted gene, 32141	ncRNA
8429	chr9	65137294	65167366	+	0	NA	intron (NM_008988, intron 2 of 13)	B1_Mm|SINE|Alu	11176	NM_008988	19289	Mm.41529	NM_008988	ENSMUSG00000032394	Igdcc3	2810401C09Rik|AI851425|Punc|WI-14920	immunoglobulin superfamily, DCC subclass, member 3	protein-coding
7154	chr7	19059255	19067673	+	0	NA	intron (NM_001159671, intron 2 of 4)	L1_Mus3|LINE|L1	8777	NM_001159671	83434	Mm.84435	NM_031255	ENSMUSG00000040866	Rsph6a	RSP4|Rshl1	radial spoke head 6 homolog A (Chlamydomonas)	protein-coding
5672	chr4	99706484	99714620	+	0	NA	Intergenic	Intergenic	-5078	NM_001081264	320438	Mm.32408	NM_001081264	ENSMUSG00000073792	Alg6	E230028F23Rik	asparagine-linked glycosylation 6 (alpha-1,3,-glucosyltransferase)	protein-coding
8304	chr9	54504738	54506208	+	0	NA	Intergenic	Intergenic	-3847	NM_172771	235380	Mm.93636	NM_172771	ENSMUSG00000041268	Dmxl2	6330586A12|6430411K14Rik|E130119P06Rik|mKIAA0856	Dmx-like 2	protein-coding
7867	chr8	71802165	71802831	+	0	NA	Intergenic	Intergenic	-76817	NR_131256	74015	Mm.22025	NM_028715	ENSMUSG00000070000	Fcho1	3322402E17Rik|N28152	FCH domain only 1	protein-coding
1708	chr12	33927443	33930602	+	0	NA	3' UTR (NM_033522, exon 1 of 1)	3' UTR (NM_033522, exon 1 of 1)	597	NM_033522	114712	Mm.204643	NM_033522	ENSMUSG00000046518	Ferd3l	Mnato3|N-twist|Nato|Nato3|Ntwist|Ptfb|bHLHa31|fer3	Fer3 like bHLH transcription factor	protein-coding
1269	chr11	83803265	83815585	+	0	NA	Intergenic	Intergenic	-41444	NM_001291268	21410	Mm.7226	NM_009330	ENSMUSG00000020679	Hnf1b	HNF-1-beta|HNF-1B|HNF-1Beta|Hnf1beta|LFB3|Tcf-2|Tcf2|vHNF1	HNF1 homeobox B	protein-coding
2468	chr14	54279563	54283022	+	0	NA	TTS (NM_010991)	TTS (NM_010991)	1633	NM_010991	18348	Mm.436623	NM_010991	ENSMUSG00000048153	Olfr49	IC6|MOR1181	olfactory receptor 49	protein-coding
6823	chr6	72285260	72287560	+	0	NA	Intergenic	Intergenic	-18200	NM_001282071	20388	Mm.46033	NM_147779	ENSMUSG00000056370	Sftpb	AI562151|SF-B|SP-B|Sftp-3|Sftp3	surfactant associated protein B	protein-coding
4651	chr2	118891216	118900435	+	0	NA	Intergenic	Intergenic	-5790	NM_001045523	228536	Mm.330487	NM_001045523	ENSMUSG00000040007	Bahd1	AL022997|AW541238|Gm117|mKIAA0945	bromo adjacent homology domain containing 1	protein-coding
1416	chr11	98293240	98342443	+	0	NA	Intergenic	Intergenic	11804	NM_010895	18013	Mm.4814	NM_010895	ENSMUSG00000038255	Neurod2	Ndrf|bHLHa1	neurogenic differentiation 2	protein-coding
441	chr1	169919521	169921536	+	0	NA	Intergenic	Intergenic	-8411	NM_001033185	78465	Mm.291078	NM_001033185	ENSMUSG00000070532	Ccdc190	1700084C01Rik	coiled-coil domain containing 190	protein-coding
3551	chr17	73593653	73596411	+	0	NA	intron (NM_027864, intron 1 of 14)	intron (NM_027864, intron 1 of 14)	115419	NM_027864	71685	Mm.271953	NM_027864	ENSMUSG00000024064	Galnt14	0610033M06Rik	polypeptide N-acetylgalactosaminyltransferase 14	protein-coding
4578	chr2	103960669	103967682	+	0	NA	intron (NM_001142337, intron 1 of 3)	L1Md_A|LINE|L1	-5382	NM_001142336	16909	Mm.29266	NM_008505	ENSMUSG00000032698	Lmo2	Rbtn-2|Rbtn2|Rhom-2|Ttg2	LIM domain only 2	protein-coding
5767	chr4	117142229	117144733	+	0	NA	Intergenic	Intergenic	-9518	NM_013807	12795	Mm.259022	NM_013807	ENSMUSG00000028680	Plk3	Cnk|Fnk|PLK-3|PRK	polo like kinase 3	protein-coding
1294	chr11	85826156	85847512	+	0	NA	intron (NM_009324, intron 3 of 6)	intron (NM_009324, intron 3 of 6)	4219	NM_009324	21385	Mm.287052	NM_009324	ENSMUSG00000000093	Tbx2	-	T-box 2	protein-coding
3237	chr16	95429525	95443731	+	0	NA	intron (NM_001302179, intron 2 of 9)	RLTR17B_Mm|LTR|ERVK	22720	NM_001302154	13876	Mm.164531	NM_133659	ENSMUSG00000040732	Erg	D030036I24Rik	ETS transcription factor	protein-coding
1353	chr11	94929619	94942888	+	0	NA	promoter-TSS (NM_007742)	promoter-TSS (NM_007742)	29	NM_007742	12842	Mm.277735	NM_007742	ENSMUSG00000001506	Col1a1	Col1a-1|Cola-1|Cola1|Mov-13|Mov13	collagen, type I, alpha 1	protein-coding
1754	chr12	72061141	72070313	+	0	NA	Intergenic	Intergenic	5374	NM_181752	238252	Mm.390508	NM_181752	ENSMUSG00000043398	Gpr135	PAFR	G protein-coupled receptor 135	protein-coding
4608	chr2	105429403	105429979	+	0	NA	Intergenic	Intergenic	-30372	NM_009037	19672	Mm.4876	NM_009037	ENSMUSG00000005973	Rcn1	Rcn	reticulocalbin 1	protein-coding
2702	chr15	12783389	12786873	+	0	NA	Intergenic	MLT1A|LTR|ERVL-MaLR	39526	NM_029998	77877	Mm.207311	NM_029998	ENSMUSG00000022195	6030458C11Rik	-	RIKEN cDNA 6030458C11 gene	protein-coding
852	chr10	103367275	103368107	+	0	NA	promoter-TSS (NM_001358821)	promoter-TSS (NM_001358821)	-117	NM_001252330	103098	Mm.458408	NM_175328	ENSMUSG00000019894	Slc6a15	AA536730|AI326450|AI326451|v7-3	solute carrier family 6 (neurotransmitter transporter), member 15	protein-coding
6037	chr4	150727876	150730777	+	0	NA	Intergenic	Intergenic	68626	NR_162802	114482888		NR_162802		Mir12196	mmu-mir-12196	microRNA mir-12196	ncRNA
6285	chr5	73361016	73361410	+	0	NA	Intergenic	B3|SINE|B2	-22266	NM_026950	433904	Mm.274892	NM_026950	ENSMUSG00000029153	Ociad2	1810027I20Rik	OCIA domain containing 2	protein-coding
6524	chr5	135327446	135332905	+	0	NA	intron (NM_033571, intron 8 of 8)	intron (NM_033571, intron 8 of 8)	19738	NM_001277892	94244	Mm.26037	NM_033571	ENSMUSG00000040013	Fkbp6	1700008G22Rik|36kDa|AU017274|D5Ertd724e|FKBP-36|FKBP-6	FK506 binding protein 6	protein-coding
